rank,file_name,series_name,total_length,train_length,test_length,kl_train_to_test,kl_test_to_train,symmetric_kl
118,095_UCR_Anomaly_NOISECIMIS44AirTemperature4_4000_5549_5597.txt,NOISECIMIS44AirTemperature4,8184,5549,2587,0.071683966357,0.042758346911,0.057221156634
119,113_UCR_Anomaly_CIMIS44AirTemperature1_4000_5391_5392.txt,CIMIS44AirTemperature1,8184,5391,2792,0.070555679741,0.043637345330,0.057096512535
120,193_UCR_Anomaly_s20101m_10000_35774_35874.txt,s20101m,40000,35774,4126,0.070339121833,0.013975068202,0.042157095018
121,006_UCR_Anomaly_DISTORTEDCIMIS44AirTemperature2_4000_5703_5727.txt,DISTORTEDCIMIS44AirTemperature2,8184,5703,2457,0.070140934650,0.036918635303,0.053529784976
122,116_UCR_Anomaly_CIMIS44AirTemperature4_4000_5549_5597.txt,CIMIS44AirTemperature4,8184,5549,2587,0.069184041108,0.043352688272,0.056268364690
123,026_UCR_Anomaly_DISTORTEDInternalBleeding15_1700_5684_5854.txt,DISTORTEDInternalBleeding15,7601,5684,1747,0.068560815617,0.147442125377,0.108001470497
124,084_UCR_Anomaly_DISTORTEDs20101mML2_12000_35774_35874.txt,DISTORTEDs20101mML2,40000,35774,4126,0.068305806041,0.055758085239,0.062031945640
125,244_UCR_Anomaly_tilt12754table_100013_104630_104890.txt,tilt12754table,300262,104630,195372,0.067454194428,0.039798553488,0.053626373958
126,114_UCR_Anomaly_CIMIS44AirTemperature2_4000_5703_5727.txt,CIMIS44AirTemperature2,8184,5703,2457,0.067382548493,0.042983734035,0.055183141264
127,183_UCR_Anomaly_qtdbSel100MLII_4000_13400_13800.txt,qtdbSel100MLII,30000,13400,16200,0.063527755190,0.058809317601,0.061168536395
128,075_UCR_Anomaly_DISTORTEDqtdbSel100MLII_4000_13400_13800.txt,DISTORTEDqtdbSel100MLII,30000,13400,16200,0.061001914283,0.059890057024,0.060445985654
129,225_UCR_Anomaly_mit14046longtermecg_81214_143000_143300.txt,mit14046longtermecg,199999,143000,56699,0.060581422998,0.042327332685,0.051454377841
130,226_UCR_Anomaly_mit14046longtermecg_96123_123000_123300.txt,mit14046longtermecg,190001,123000,66701,0.059138698435,0.044172336614,0.051655517524
131,105_UCR_Anomaly_NOISEgait3_24500_59900_60500.txt,NOISEgait3,65000,59900,4500,0.058561316348,0.036551179441,0.047556247895
132,069_UCR_Anomaly_DISTORTEDinsectEPG5_3200_8500_8501.txt,DISTORTEDinsectEPG5,10028,8500,1527,0.057803027904,0.030505689793,0.044154358849
133,231_UCR_Anomaly_mit14134longtermecg_8763_47530_47790.txt,mit14134longtermecg,59000,47530,11210,0.056362767093,0.034300302423,0.045331534758
134,195_UCR_Anomaly_sel840mECG1_17000_51370_51740.txt,sel840mECG1,60000,51370,8260,0.055944907051,0.059912247052,0.057928577051
135,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199.txt,NOISEInternalBleeding16,7501,4187,3302,0.054562803780,0.019701135866,0.037131969823
136,023_UCR_Anomaly_DISTORTEDGP711MarkerLFM5z5_5000_8612_8716.txt,DISTORTEDGP711MarkerLFM5z5,12000,8612,3284,0.053849981348,0.268727397090,0.161288689219
137,144_UCR_Anomaly_InternalBleeding9_4200_6599_6681.txt,InternalBleeding9,7501,6599,820,0.053558751871,0.054574946909,0.054066849390
138,203_UCR_Anomaly_CHARISfive_10500_10995_11028.txt,CHARISfive,41612,10995,30584,0.052008158289,0.038623265652,0.045315711970
