rank,file_name,series_name,total_length,train_length,test_length,ks_statistic,p_value,bh_adjusted_p_value,is_significant
217,137_UCR_Anomaly_InternalBleeding18_2300_4485_4587.txt,InternalBleeding18,7500,4485,2913,0.035813163687,2.090220515451e-02,2.408088151442e-02,yes
218,142_UCR_Anomaly_InternalBleeding6_1500_3474_3629.txt,InternalBleeding6,7654,3474,4025,0.034580360942,2.243378432438e-02,2.572681688576e-02,yes
219,138_UCR_Anomaly_InternalBleeding19_3000_4187_4197.txt,InternalBleeding19,7500,4187,3303,0.034410894092,2.448178542658e-02,2.794724363765e-02,yes
220,135_UCR_Anomaly_InternalBleeding16_1200_4187_4199.txt,InternalBleeding16,7501,4187,3302,0.034348912739,2.489063942830e-02,2.828481753216e-02,yes
221,032_UCR_Anomaly_DISTORTEDInternalBleeding4_1000_4675_5033.txt,DISTORTEDInternalBleeding4,7321,4675,2288,0.037558617853,2.539036931434e-02,2.872213723342e-02,yes
222,232_UCR_Anomaly_mit14134longtermecg_8763_57530_57790.txt,mit14134longtermecg,59000,57530,1210,0.041647835912,3.186287533343e-02,3.588161636647e-02,yes
223,014_UCR_Anomaly_DISTORTEDECG3_8000_17000_17100.txt,DISTORTEDECG3,30000,17000,12900,0.016553579571,3.553071062178e-02,3.983263522621e-02,yes
224,136_UCR_Anomaly_InternalBleeding17_1600_3198_3309.txt,InternalBleeding17,7500,3198,4191,0.032896813193,3.833009932595e-02,4.277912871200e-02,yes
225,099_UCR_Anomaly_NOISEInternalBleeding6_1500_3474_3629.txt,NOISEInternalBleeding6,7654,3474,4025,0.031874689352,4.397477787870e-02,4.883484416980e-02,yes
226,098_UCR_Anomaly_NOISEInternalBleeding16_1200_4187_4199.txt,NOISEInternalBleeding16,7501,4187,3302,0.032019227695,4.414669912950e-02,4.883484416980e-02,yes
227,119_UCR_Anomaly_ECG1_10000_11800_12100.txt,ECG1,30000,11800,17900,0.016138623236,4.868229480506e-02,5.361486212011e-02,no
228,124_UCR_Anomaly_ECG4_5000_16900_17100.txt,ECG4,30000,16900,12900,0.015873125086,4.958004345782e-02,5.436408273884e-02,no
229,122_UCR_Anomaly_ECG3_8000_17000_17100.txt,ECG3,30000,17000,12900,0.015637482900,5.479457831730e-02,5.930149168539e-02,no
230,125_UCR_Anomaly_ECG4_5000_17000_17100.txt,ECG4,30000,17000,12900,0.015637482900,5.479457831730e-02,5.930149168539e-02,no
231,126_UCR_Anomaly_ECG4_8000_17000_17100.txt,ECG4,30000,17000,12900,0.015637482900,5.479457831730e-02,5.930149168539e-02,no
232,018_UCR_Anomaly_DISTORTEDECG4_8000_17000_17100.txt,DISTORTEDECG4,30000,17000,12900,0.015247150023,6.541015231299e-02,7.048507792348e-02,no
233,250_UCR_Anomaly_weallwalk_2951_7290_7296.txt,weallwalk,10468,7290,3172,0.025774394263,1.038259242686e-01,1.114012062968e-01,no
